epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0006,1.17336,8.78871,0.64948,1.07076,1.39573,0.9986,0.98305,0.99422,0.79102,0.04014,0.05085,0.00439,0.00053,0.82579,6.75667,0.35819,0.54894,1.14147,0.000661692,0.000661692,0.000661692
2,80.8491,0.90373,6.89718,0.53534,0.64876,1.18113,0.99647,1,0.995,0.77286,0.33821,0.33898,0.14371,0.04119,0.80484,5.56994,0.20623,0.5382,1.10995,0.00132573,0.00132573,0.00132573
3,165.639,0.88694,5.5863,0.51317,0.62924,1.17988,0.98146,1,0.99367,0.80437,0.52765,0.45763,0.30767,0.06145,0.80969,4.25679,0.20248,0.51067,1.08754,0.00198712,0.00198712,0.00198712
4,250.747,0.87511,4.84882,0.48757,0.64252,1.17276,0.99458,1,0.995,0.83572,0.69054,0.69492,0.576,0.18131,0.70827,3.55102,0.20094,0.48378,0.99974,0.00198812,0.00198812,0.00198812
5,335.542,0.83561,4.24497,0.4704,0.60435,1.15317,0.99841,1,0.995,0.85309,0.81206,0.81356,0.74683,0.30185,0.66337,2.98522,0.21224,0.41435,0.9526,0.00198416,0.00198416,0.00198416
6,420.957,0.78403,3.78229,0.44947,0.55295,1.10748,0.99687,1,0.995,0.82018,0.79571,0.79661,0.72584,0.25173,0.71605,3.12551,0.17118,0.46669,1.03077,0.0019802,0.0019802,0.0019802
7,505.835,0.74439,3.38686,0.43528,0.52424,1.08859,0.99312,1,0.995,0.79841,0.84163,0.84746,0.78359,0.23978,0.76172,3.03627,0.18598,0.57033,1.03,0.00197624,0.00197624,0.00197624
8,590.406,0.76839,3.36807,0.42217,0.53867,1.10002,0.99908,1,0.995,0.84244,0.86346,0.86441,0.8461,0.45068,0.69633,2.31325,0.15807,0.40902,0.9914,0.00197228,0.00197228,0.00197228
9,683.367,0.71569,3.06372,0.40609,0.50544,1.07995,0.99673,1,0.995,0.85326,0.84456,0.84746,0.83384,0.42488,0.64646,2.34056,0.16664,0.37979,0.95101,0.00196832,0.00196832,0.00196832
10,780.684,0.69403,2.89271,0.38539,0.47882,1.05392,0.99802,1,0.995,0.85038,0.82883,0.83051,0.78394,0.3636,0.62115,2.63609,0.15032,0.37302,0.97177,0.00196436,0.00196436,0.00196436
11,870.848,0.7061,2.89155,0.38314,0.48765,1.07748,0.99817,1,0.995,0.8439,0.89666,0.89831,0.87052,0.51537,0.61069,1.98942,0.1683,0.34133,0.95263,0.0019604,0.0019604,0.0019604
12,958.462,0.6806,2.6908,0.36957,0.47103,1.04607,0.99871,1,0.995,0.84596,0.96483,0.9661,0.95782,0.47465,0.60337,2.0004,0.14859,0.35158,0.948,0.00195644,0.00195644,0.00195644
13,1046.93,0.68824,2.56688,0.35162,0.4664,1.0562,0.9988,1,0.995,0.8519,0.79564,0.79661,0.73704,0.39484,0.59148,2.21053,0.11206,0.35275,0.95265,0.00195248,0.00195248,0.00195248
14,1135.52,0.66202,2.50109,0.3444,0.46206,1.04311,0.99893,1,0.995,0.89325,0.9312,0.9322,0.93116,0.55066,0.53255,1.73857,0.1083,0.32906,0.90044,0.00194852,0.00194852,0.00194852
15,1223.97,0.66072,2.45676,0.33263,0.45309,1.03644,0.99636,1,0.995,0.84648,0.94562,0.94915,0.94476,0.59404,0.58785,1.65491,0.11992,0.32644,0.93001,0.00194456,0.00194456,0.00194456
16,1310.86,0.64571,2.33744,0.32964,0.43068,1.0278,0.9984,1,0.995,0.88557,0.96455,0.9661,0.96473,0.60455,0.5497,1.70046,0.10538,0.33243,0.89105,0.0019406,0.0019406,0.0019406
17,1397.42,0.6227,2.26111,0.3225,0.42849,1.02761,0.99884,1,0.995,0.86849,0.99884,1,0.995,0.56058,0.54009,1.56219,0.10864,0.31509,0.8997,0.00193664,0.00193664,0.00193664
18,1482.94,0.62287,2.25095,0.31131,0.4293,1.01512,0.99889,1,0.995,0.87327,0.98194,0.98305,0.98465,0.61793,0.55552,1.57531,0.10031,0.2999,0.91902,0.00193268,0.00193268,0.00193268
19,1567.15,0.61335,2.17014,0.31355,0.41683,1.02851,0.99893,1,0.995,0.8958,0.96507,0.9661,0.97228,0.58856,0.52849,1.61182,0.10913,0.306,0.8959,0.00192872,0.00192872,0.00192872
20,1605.1,0.61439,2.05997,0.29504,0.40995,1.01018,0.99866,1,0.995,0.88257,0.99866,1,0.995,0.64307,0.52247,1.39876,0.10989,0.32013,0.88861,0.00192476,0.00192476,0.00192476
21,1652.22,0.61533,2.15571,0.30028,0.41385,1.00665,0.99881,1,0.995,0.8753,0.96495,0.9661,0.9458,0.54652,0.54734,1.50442,0.10951,0.30783,0.90072,0.0019208,0.0019208,0.0019208
22,1715.96,0.58792,1.94782,0.27189,0.39176,0.99926,0.99855,1,0.995,0.87666,0.99855,1,0.995,0.67342,0.53409,1.37028,0.09719,0.30317,0.89917,0.00191684,0.00191684,0.00191684
23,1802.07,0.5969,1.99952,0.27533,0.4072,0.99973,0.99891,1,0.995,0.90055,0.99891,1,0.995,0.62709,0.49886,1.53234,0.09221,0.3069,0.87086,0.00191288,0.00191288,0.00191288
24,1888.09,0.60007,1.96275,0.28255,0.4135,1.00564,0.99882,1,0.995,0.88962,0.99882,1,0.995,0.69329,0.51577,1.32946,0.07721,0.31943,0.90293,0.00190892,0.00190892,0.00190892
25,1976.39,0.58555,1.89847,0.25987,0.39075,0.9955,0.99813,1,0.995,0.87042,0.99813,1,0.995,0.65098,0.54403,1.41273,0.06724,0.32144,0.90128,0.00190496,0.00190496,0.00190496
26,2063.17,0.59699,1.88251,0.26656,0.39384,0.99925,0.99784,1,0.995,0.88339,0.98093,0.98305,0.98121,0.67549,0.53399,1.37743,0.09287,0.29026,0.89366,0.001901,0.001901,0.001901
27,2149.51,0.57802,1.85945,0.25562,0.38912,1.00139,0.99886,1,0.995,0.89359,0.99886,1,0.995,0.73758,0.50716,1.17329,0.07386,0.30162,0.88048,0.00189704,0.00189704,0.00189704
28,2234.99,0.5787,1.84344,0.25724,0.38246,0.9949,0.99905,1,0.995,0.87871,0.99905,1,0.995,0.70485,0.51846,1.23953,0.06983,0.29935,0.88919,0.00189308,0.00189308,0.00189308
29,2322.58,0.57987,1.88708,0.25907,0.39056,0.98806,0.99873,1,0.995,0.87785,0.9818,0.98305,0.98559,0.69605,0.52095,1.19055,0.07462,0.28864,0.88835,0.00188912,0.00188912,0.00188912
30,2408.49,0.57371,1.80278,0.25999,0.38115,0.98963,0.99897,1,0.995,0.85801,0.99897,1,0.995,0.68983,0.57057,1.20455,0.08623,0.29662,0.93627,0.00188516,0.00188516,0.00188516
31,2494.67,0.57469,1.77727,0.25202,0.37964,0.9955,0.99878,1,0.995,0.87484,0.99878,1,0.995,0.69318,0.54773,1.23426,0.06812,0.2855,0.90338,0.0018812,0.0018812,0.0018812
32,2582.17,0.56076,1.7707,0.25112,0.3746,0.98232,0.99898,1,0.995,0.89297,0.99898,1,0.995,0.68259,0.52591,1.24693,0.07502,0.29389,0.89671,0.00187724,0.00187724,0.00187724
33,2671.64,0.53566,1.68103,0.24935,0.35955,0.97274,0.99886,1,0.995,0.87645,0.98193,0.98305,0.97989,0.67793,0.49017,1.20331,0.06928,0.27692,0.87818,0.00187328,0.00187328,0.00187328
34,2758.08,0.54053,1.73484,0.23777,0.36348,0.97593,0.99892,1,0.995,0.88335,0.99892,1,0.995,0.73695,0.52182,1.1068,0.07152,0.28374,0.90888,0.00186932,0.00186932,0.00186932
35,2843.8,0.5286,1.62763,0.25443,0.35178,0.96046,0.999,1,0.995,0.87767,0.999,1,0.995,0.73605,0.53832,1.06187,0.07978,0.27731,0.88714,0.00186536,0.00186536,0.00186536
36,2929.97,0.52861,1.63625,0.23128,0.35616,0.96641,0.99893,1,0.995,0.90101,0.99893,1,0.995,0.72504,0.50154,1.12887,0.06601,0.2752,0.87197,0.0018614,0.0018614,0.0018614
37,3016.2,0.53718,1.56374,0.2404,0.36037,0.98226,0.9988,1,0.995,0.90043,0.98187,0.98305,0.9869,0.71157,0.50549,1.15583,0.06847,0.27012,0.89008,0.00185744,0.00185744,0.00185744
38,3101.07,0.52742,1.58864,0.23683,0.35833,0.96395,0.99899,1,0.995,0.9137,0.99899,1,0.995,0.77672,0.48777,1.02097,0.06607,0.27786,0.87067,0.00185348,0.00185348,0.00185348
39,3185.99,0.53507,1.58312,0.23305,0.36046,0.98076,0.99893,1,0.995,0.89184,0.99893,1,0.995,0.74969,0.50283,1.06466,0.06935,0.26576,0.88847,0.00184952,0.00184952,0.00184952
40,3271.14,0.53127,1.6282,0.23328,0.35531,0.97745,0.99899,1,0.995,0.90898,0.99899,1,0.995,0.73823,0.46679,1.04347,0.05588,0.25275,0.85644,0.00184556,0.00184556,0.00184556
41,3356.92,0.52373,1.50848,0.21768,0.34643,0.95894,0.99892,1,0.995,0.87133,0.99892,1,0.995,0.70025,0.52934,1.11703,0.0546,0.27044,0.88928,0.0018416,0.0018416,0.0018416
42,3442.78,0.53764,1.54576,0.22111,0.35749,0.96807,0.99894,1,0.995,0.90771,0.99894,1,0.995,0.76818,0.4959,1.02606,0.0536,0.25919,0.87364,0.00183764,0.00183764,0.00183764
43,3536.53,0.53234,1.49258,0.21698,0.35249,0.96888,0.99885,1,0.995,0.8954,0.98192,0.98305,0.978,0.70368,0.49985,1.11127,0.06669,0.26511,0.88396,0.00183368,0.00183368,0.00183368
44,3624.54,0.52791,1.49715,0.22659,0.35194,0.97045,0.99898,1,0.995,0.89701,0.98205,0.98305,0.97961,0.73575,0.50159,1.09938,0.05902,0.26341,0.88373,0.00182972,0.00182972,0.00182972
